Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,10030.70229999139,10179.789340500281,10030.70229999139,10268.506499996874,147.0,0.6790854431547242,0.6790854431547242,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners,10012,9999,3,308.81163614672346,1.4024999982211739,10026.33410000999,1139.1350379544547,33.99501728432549,33.950876730520434,3,3,4,4,5,7,10000,10000,10000,10000,10000
GET,GET /owners/{id},7501,7481,3,308.9910921077238,1.5221000066958368,10012.598000001162,149.23703506199175,25.46909954551793,25.40119100120246,3,3,4,4,5,7,10000,10000,10000,10000,10000
GET,GET /vets,4977,4738,3,3.57558330312951,1.4444999978877604,69.7675999981584,164.6347197106691,16.899041252905313,16.087534148335415,3,4,4,4,5,6,7,9,38,70,70
POST,POST /owners,2509,2498,45,315.3979001194902,1.9257000094512478,10051.867599991965,54.349541650059784,8.519126884376014,8.481777185002505,45,46,46,47,48,50,10000,10000,10000,10000,10000
,Aggregated,25199,24916,3,327.57852139372955,1.4024999982211739,10268.506499996874,536.1163935076788,85.56137041027948,84.60046450821554,3,4,4,5,44,47,10000,10000,10000,10000,10000
