Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,240.0,727.5282265001442,50.66770000848919,10098.376900001313,147.0,0.677222347363199,0.677222347363199,240,300,340,360,370,10000,10000,10000,10000,10000,10000
GET,GET /owners,10287,10270,3,321.9483237094904,1.370899990433827,10197.23829999566,1395.5240594925635,34.83293143662614,34.775367537100266,3,4,4,5,6,8,10000,10000,10000,10000,10000
GET,GET /owners/{id},7791,7743,3,252.396338993762,1.365000003715977,10015.70360000187,149.44192016429213,26.381196541533413,26.218663178166246,3,4,4,5,6,7,10000,10000,10000,10000,10000
GET,GET /vets,5213,5007,3,3.8351680414164337,1.4935000072000548,56.85390000871848,160.27201227699982,17.65180048402178,16.954261466237686,3,4,4,5,5,6,7,10,40,57,57
POST,POST /owners,2575,2555,46,367.2621668349258,1.6253999929176643,10053.204399999231,54.620582524271846,8.719237722301186,8.651515487564867,46,47,47,48,49,52,10000,10000,10000,10000,10000
,Aggregated,26066,25775,3,245.12778097904328,1.365000003715977,10197.23829999566,633.9907926033914,88.26238853184572,87.27703001643226,3,4,5,5,44,48,10000,10000,10000,10000,10000
