Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,10020.166900008917,10157.391701500315,10020.166900008917,10249.405700000352,147.0,0.6729765788834301,0.6729765788834301,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners,9996,9981,3,351.6032826630906,1.3780000008409843,10011.608200002229,1299.4886954781912,33.63536941259384,33.58489616917758,3,3,4,4,5,7,10000,10000,10000,10000,10000
GET,GET /owners/{id},7409,7364,3,272.82038885139536,1.3725999888265505,10012.562699994305,149.5034417600216,24.93041736473667,24.778997634487897,3,3,4,4,5,7,10000,10000,10000,10000,10000
GET,GET /vets,5130,4882,3,3.5565009358656487,1.523700004327111,106.71870000078343,164.8,17.261849248359983,16.42735829054453,3,3,4,4,5,6,7,9,43,110,110
POST,POST /owners,2571,2550,45,409.6502754961121,1.9992000015918165,10051.59889999777,54.65266433294438,8.651113921546495,8.580451380763733,45,46,46,47,48,51,10000,10000,10000,10000,10000
,Aggregated,25306,24977,3,341.3770142615109,1.3725999888265505,10249.405700000352,597.1981348296847,85.15172652612041,84.04468005385716,3,4,4,5,44,47,10000,10000,10000,10000,10000
