Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,10023.147500003688,10152.724090000118,10023.147500003688,10245.174199997564,147.0,0.6698819056248135,0.6698819056248135,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners,10245,10229,3,316.7287334992044,1.494500000262633,10010.387000002083,1352.1933626159102,34.314700615631075,34.261110063181086,3,3,4,4,5,7,10000,10000,10000,10000,10000
GET,GET /owners/{id},7636,7610,3,306.91326900216166,1.3731000071857125,10015.357600001153,149.28182294394972,25.576091156755382,25.489006509024154,3,3,4,4,5,7,10000,10000,10000,10000,10000
GET,GET /vets,5225,5051,3,3.524610832493427,1.511400012532249,45.318599994061515,157.08363636363637,17.500664784448254,16.917867526554666,3,3,4,4,5,6,7,9,30,45,45
POST,POST /owners,2568,2560,45,367.81495264793796,1.7886999994516373,10052.932199992938,54.24805295950156,8.601283668222607,8.574488391997614,45,46,46,47,48,50,10000,10000,10000,10000,10000
,Aggregated,25874,25650,3,331.6837483496774,1.3731000071857125,10245.174199997564,617.7092061528948,86.66262213068212,85.91235439638234,3,4,4,5,44,47,10000,10000,10000,10000,10000
