Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,200,200,11000.0,10888.974237000002,10029.17300000263,11173.09280000336,147.0,0.669072592604995,0.669072592604995,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,GET /owners,9848,9834,3,337.01578175261403,1.399400003720075,10017.956499999855,1228.1225629569456,32.94513445986995,32.8982993783876,3,4,4,4,6,7,10000,10000,10000,10000,10000
GET,GET /owners/{id},7427,7382,3,318.5743613706244,1.4780000055907294,10009.214500008966,149.42709034603473,24.846010726386485,24.695469393050363,3,4,4,4,6,8,10000,10000,10000,10000,10000
GET,GET /vets,5003,4775,3,5.1670047772007965,1.5020999999251217,1060.542199993506,163.37877273635817,16.73685090401395,15.974108148444254,3,4,4,4,5,6,8,11,920,1100,1100
POST,POST /owners,2439,2426,45,357.78177228387574,1.934400002937764,10049.077000003308,54.42640426404264,8.159340266817914,8.115850548298589,45,46,47,47,49,52,10000,10000,10000,10000,10000
,Aggregated,24917,24617,3,351.61770339527436,1.399400003720075,11173.09280000336,569.2449331781514,83.35640894969329,82.3528000607858,3,4,5,5,45,48,10000,10000,11000,11000,11000
