Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,0,2800.0,2937.768770000548,708.9229000121122,6179.495499993209,571888.0,0.0835088134360668,0.0,2800,3600,3800,5300,5500,5700,6200,6200,6200,6200,6200
GET,GET /owners,3153,41,2300.0,2902.2863113225544,122.18690000008792,10080.492200009758,614167.5334601967,5.266065775278372,0.06847722701757478,2300,3600,4400,4900,6600,7900,9400,10000,10000,10000,10000
GET,GET /owners/{id},2470,0,630.0,1344.7202990282956,2.988400010508485,9340.715800004546,133.77125506072875,4.1253353837416995,0.0,640,1700,2100,2600,3800,4800,6000,7000,8300,9300,9300
GET,GET /vets,1638,0,5,5.439651343218203,3.1808000057935715,36.17389999271836,653.0,2.7357487281655484,0.0,5,5,6,6,7,8,10,12,29,36,36
POST,POST /owners,772,0,690.0,1366.0287619171058,3.664000003482215,9599.191200002679,133.9080310880829,1.2893760794528712,0.0,690,1700,2100,2500,3800,5000,6400,7600,9600,9600,9600
,Aggregated,8083,41,630.0,1692.7799913151225,2.988400010508485,10080.492200009758,243296.80056909562,13.500034780074557,0.06847722701757478,630,1900,2700,3300,4900,6400,7900,9000,10000,10000,10000
