Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,0,850.0,843.4621760001755,807.0361999998568,882.1572000015294,2347.0,0.08367793181403604,0.0,850,850,860,870,870,870,880,880,880,880,880
GET,GET /owners,5801,0,48,53.956336028173304,8.320099994307384,273.7240999995265,101971.79865540424,9.708313649064461,0.0,48,64,75,81,97,110,120,160,250,270,270
GET,GET /owners/{id},4398,0,6,6.709392587656542,2.9402000072877854,197.81470000452828,233.14211005002275,7.36031088236261,0.0,6,6,7,7,8,10,12,16,160,200,200
GET,GET /vets,2967,0,7,9.491665217243105,3.8471000007120892,490.3414000000339,653.0,4.965448473844899,0.0,7,8,9,9,12,14,19,25,470,490,490
POST,POST /owners,1498,0,48,40.400711148188876,3.4379999997327104,232.69509999954607,133.1789052069426,2.50699083714852,0.0,48,49,50,50,52,53,55,57,220,230,230
,Aggregated,14714,0,12,32.17097721214508,2.9402000072877854,882.1572000015294,40425.31371482941,24.624741774234526,0.0,12,37,48,51,76,94,110,140,860,880,880
