Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,0,930.0,933.3012080000481,324.49470000574365,1792.1395000012126,203492.8,0.08350785804650863,0.0,940,1200,1200,1300,1400,1600,1800,1800,1800,1800,1800
GET,GET /owners,5759,0,150.0,166.4170702551445,42.59140000795014,1288.9021000009961,296129.24986976903,9.618435089796865,0.0,150,180,200,210,260,310,360,390,1100,1300,1300
GET,GET /owners/{id},4317,0,5,9.303810192287951,2.818299995851703,958.6486999905901,133.6648135279129,7.210068463735555,0.0,5,5,6,6,8,12,67,97,810,960,960
GET,GET /vets,2970,0,6,5.913993602705593,3.4585000103106722,31.62480000173673,653.0,4.960366767962612,0.0,6,6,6,7,8,9,10,11,19,32,32
POST,POST /owners,1387,0,46,36.31112804624315,3.4713000059127808,820.0832000002265,133.8932948810382,2.3165079822101493,0.0,46,48,48,49,51,56,110,150,820,820,820
,Aggregated,14483,0,8,76.85932556788376,2.818299995851703,1792.1395000012126,118641.52047227784,24.18888616175169,0.0,8,100,140,150,200,250,320,370,1200,1700,1800
