Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,50,20,7100.0,6294.789333999797,1190.498199997819,10073.378100001719,405923.6,0.08354449979106525,0.0334177999164261,7100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners,4317,4116,3,1027.3203011582889,1.8891000072471797,10021.185499994317,32057.752142691683,7.213232111960574,6.877383222800492,3,4,4,4,5700,10000,10000,10000,10000,10000,10000
GET,GET /owners/{id},3196,2905,3,853.8000237484024,1.7924999992828816,10028.25259999372,151.459324155194,5.340164426644891,4.853935437860891,3,4,4,5,3000,9800,10000,10000,10000,10000,10000
GET,GET /vets,2109,1826,3,3.668698862255679,1.7270000098505989,15.181099995970726,207.9720246562352,3.523907001187132,3.051045132369703,3,4,4,4,5,6,7,8,14,15,15
POST,POST /owners,1100,1004,46,887.8733872727819,2.466999998432584,10046.756800002186,60.96636363636364,1.8379789954034356,1.6775735558045903,46,46,47,48,3300,10000,10000,10000,10000,10000,10000
,Aggregated,10772,9871,3,785.6316463610118,1.7270000098505989,10073.378100001719,14823.545859636093,17.998827034987098,16.4933551487521,3,4,5,7,350,10000,10000,10000,10000,10000,10000
