Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,90,150.0,956.6144560003886,54.364600000553764,8480.474199997843,69825.7,0.16811520822785628,0.15130368740507064,150,160,190,190,7700,8500,8500,8500,8500,8500,8500
GET,GET /owners,9967,9860,3,507.0144594361587,1.5438000118592754,10133.052199991653,7709.6472358783985,16.756042804070436,16.57615953126663,3,4,4,4,6,6600,10000,10000,10000,10000,10000
GET,GET /owners/{id},7444,7281,3,428.9572912009131,1.4851000014459714,10011.027799992007,149.64615797958086,12.51449610048162,12.240468311070215,3,4,4,4,6,16,10000,10000,10000,10000,10000
GET,GET /vets,5061,4757,3,3.726762280065625,1.6308999911416322,58.32100000407081,169.87453072515314,8.508310688411806,7.9972404553991225,3,4,4,4,5,6,7,9,25,58,58
POST,POST /owners,2439,2366,46,438.74850410021963,2.2600999946007505,10051.400700001977,56.392783927839275,4.100329928677414,3.977605826671079,46,47,47,48,49,58,10000,10000,10000,10000,10000
,Aggregated,25011,24354,3,377.0821392147323,1.4851000014459714,10133.052199991653,3435.9228739354685,42.04729472986913,40.942777811812114,3,4,5,5,45,49,10000,10000,10000,10000,10000
