Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,100,10031.597199995304,10090.332604999421,10031.597199995304,10133.004899995285,146.0,0.16704290486607307,0.16704290486607307,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners,9785,9744,3,481.807116208497,1.3188000011723489,10146.32439998968,3156.1217169136435,16.34514824114525,16.27666065015016,3,3,4,4,5,510,10000,10000,10000,10000,10000
GET,GET /owners/{id},7633,7550,3,390.8589668676533,1.4381000073626637,10012.546199999633,149.33643390541073,12.750384928427357,12.611739317388516,3,3,4,4,5,9,10000,10000,10000,10000,10000
GET,GET /vets,5049,4772,3,3.331855258545145,1.6045999946072698,27.66249999694992,167.67855020796196,8.433996266688029,7.9712874202090065,3,3,4,4,4,5,7,8,23,28,28
POST,POST /owners,2522,2494,45,451.92347240320606,1.9721999997273088,10052.247599989641,54.88659793814433,4.212822060722362,4.166050047359862,45,46,46,47,48,52,10000,10000,10000,10000,10000
,Aggregated,25089,24660,3,393.14105469736313,1.3188000011723489,10146.32439998968,1316.20108414046,41.90939440184907,41.192780339973616,3,3,4,4,45,47,10000,10000,10000,10000,10000
