Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,100,120.0,1111.169332000136,49.895400006789714,10060.438499989687,147.0,0.16702086800091687,0.16702086800091687,120,150,160,160,10000,10000,10000,10000,10000,10000,10000
GET,GET /owners,10282,10228,3,431.8086204338873,1.480999999330379,10011.541700005182,4067.860435712896,17.173085647854272,17.082894379133776,3,4,4,4,6,10,10000,10000,10000,10000,10000
GET,GET /owners/{id},7615,7523,3,386.24551969792753,1.5318999940063804,10012.148900001193,149.93854235062378,12.71863909826982,12.564979899708977,3,4,4,4,6,8,10000,10000,10000,10000,10000
GET,GET /vets,5134,4897,3,3.6324850408600766,1.4635999978054315,33.55710000323597,163.68153486560186,8.574851363167072,8.179011906004899,3,4,4,4,5,6,7,8,22,34,34
POST,POST /owners,2581,2538,46,461.4183172803213,1.9120999932056293,10051.680000004126,55.33049205734211,4.3108086031036645,4.23898962986327,46,46,47,47,49,55,10000,10000,10000,10000,10000
,Aggregated,25712,25286,3,338.43351960568026,1.4635999978054315,10060.438499989687,1709.9164592408215,42.944405580395745,42.23289668271184,3,4,5,5,45,48,10000,10000,10000,10000,10000
