Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,100,120.0,115.46746499967412,36.14860000379849,184.66309999348596,147.0,0.1671183318536318,0.1671183318536318,120,140,160,160,170,180,180,180,180,180,180
GET,GET /owners,10241,10200,3,455.10545084470635,1.570199994603172,10198.215200012783,3098.1212772190215,17.114588365130434,17.046069849070445,3,3,4,4,5,14,10000,10000,10000,10000,10000
GET,GET /owners/{id},7558,7459,3,401.0478147525987,1.4542999997502193,10012.217399998917,149.97763958719239,12.63080352149749,12.465356372962397,3,3,4,4,5,13,10000,10000,10000,10000,10000
GET,GET /vets,5222,4991,3,3.4602981043176255,1.5439000126207247,28.098499999032356,162.69302949061662,8.726919289396653,8.340875942814764,3,3,4,4,5,6,7,8,16,28,28
POST,POST /owners,2534,2501,45,385.62232829532655,1.6781000012997538,10052.36609998974,55.04104183109708,4.23477852917103,4.179629479659331,45,46,47,47,48,51,10000,10000,10000,10000,10000
,Aggregated,25655,25251,3,339.0620818203808,1.4542999997502193,10198.215200012783,1320.0213603586046,42.874208037049236,42.19904997636056,3,4,4,5,44,48,10000,10000,10000,10000,10000
