Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,100,100,160.0,139.47783199939295,45.78329999640118,199.34449999709614,147.0,0.16702093437710103,0.16702093437710103,160,160,180,180,190,200,200,200,200,200,200
GET,GET /owners,10255,10206,3,466.7595393759312,1.4488999877357855,10009.439799992833,3620.3539736713797,17.12799682037171,17.04615656252693,3,3,4,4,5,30,10000,10000,10000,10000,10000
GET,GET /owners/{id},7692,7599,3,372.00588878056334,1.644300005864352,10011.25999999931,149.99336973478938,12.847250272286612,12.691920803315908,3,3,4,4,5,8,10000,10000,10000,10000,10000
GET,GET /vets,5098,4850,3,3.342836916427344,1.3843000051565468,31.187500004307367,164.9556688897607,8.51472723454461,8.1005153172894,3,3,4,4,4,5,6,8,24,31,31
POST,POST /owners,2579,2550,45,365.27394404826316,1.9176000059815124,10051.377700001467,54.89763474214812,4.3074698975854355,4.2590338266160765,45,46,46,47,48,51,10000,10000,10000,10000,10000
,Aggregated,25724,25305,3,335.13914788915355,1.3843000051565468,10051.377700001467,1526.8894417664437,42.96446515916547,42.264647444125416,3,4,4,5,44,47,10000,10000,10000,10000,10000
